Archivo: python_highlevel_cruz_20260905_113802.csv
Duración registrada: 159.56 s

Dron 1: 1530 muestras; altura MoCap máxima = 1.486 m
Dron 1: frecuencia MoCap media = 21.6 Hz; mínima = 11.8 Hz
Dron 1: sobrepaso vertical máximo = +0.625 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=100.906 s | Dron 1 | GOTO_HIGHLEVEL
t=101.172 s | Dron 1 | GOTO_HIGHLEVEL
t=101.437 s | Dron 1 | GOTO_HIGHLEVEL
t=101.703 s | Dron 1 | GOTO_HIGHLEVEL
t=101.984 s | Dron 1 | GOTO_HIGHLEVEL
t=102.25 s | Dron 1 | GOTO_HIGHLEVEL
t=102.859 s | Dron 1 | GOTO_HIGHLEVEL
t=103.125 s | Dron 1 | GOTO_HIGHLEVEL
t=103.39 s | Dron 1 | GOTO_HIGHLEVEL
t=103.64 s | Dron 1 | GOTO_HIGHLEVEL
t=103.906 s | Dron 1 | GOTO_HIGHLEVEL
t=104.156 s | Dron 1 | GOTO_HIGHLEVEL
t=104.422 s | Dron 1 | GOTO_HIGHLEVEL
t=104.672 s | Dron 1 | GOTO_HIGHLEVEL
t=104.953 s | Dron 1 | GOTO_HIGHLEVEL
t=105.218 s | Dron 1 | GOTO_HIGHLEVEL
t=105.484 s | Dron 1 | GOTO_HIGHLEVEL
t=105.75 s | Dron 1 | GOTO_HIGHLEVEL
t=106.031 s | Dron 1 | GOTO_HIGHLEVEL
t=106.297 s | Dron 1 | GOTO_HIGHLEVEL
t=106.562 s | Dron 1 | GOTO_HIGHLEVEL
t=106.812 s | Dron 1 | GOTO_HIGHLEVEL
t=107.078 s | Dron 1 | GOTO_HIGHLEVEL
t=107.328 s | Dron 1 | GOTO_HIGHLEVEL
t=107.593 s | Dron 1 | GOTO_HIGHLEVEL
t=107.859 s | Dron 1 | GOTO_HIGHLEVEL
t=108.125 s | Dron 1 | GOTO_HIGHLEVEL
t=108.39 s | Dron 1 | GOTO_HIGHLEVEL
t=108.672 s | Dron 1 | GOTO_HIGHLEVEL
t=108.953 s | Dron 1 | GOTO_HIGHLEVEL
t=109.218 s | Dron 1 | GOTO_HIGHLEVEL
t=109.468 s | Dron 1 | GOTO_HIGHLEVEL
t=109.734 s | Dron 1 | GOTO_HIGHLEVEL
t=110.0 s | Dron 1 | GOTO_HIGHLEVEL
t=110.515 s | Dron 1 | GOTO_HIGHLEVEL
t=110.781 s | Dron 1 | GOTO_HIGHLEVEL
t=111.047 s | Dron 1 | GOTO_HIGHLEVEL
t=111.312 s | Dron 1 | GOTO_HIGHLEVEL
t=111.593 s | Dron 1 | GOTO_HIGHLEVEL
t=111.843 s | Dron 1 | GOTO_HIGHLEVEL
t=112.109 s | Dron 1 | GOTO_HIGHLEVEL
t=112.39 s | Dron 1 | GOTO_HIGHLEVEL
t=112.64 s | Dron 1 | GOTO_HIGHLEVEL
t=112.89 s | Dron 1 | GOTO_HIGHLEVEL
t=113.14 s | Dron 1 | GOTO_HIGHLEVEL
t=116.281 s | Dron 1 | GOTO_HIGHLEVEL
t=116.531 s | Dron 1 | GOTO_HIGHLEVEL
t=116.781 s | Dron 1 | GOTO_HIGHLEVEL
t=117.062 s | Dron 1 | GOTO_HIGHLEVEL
t=117.328 s | Dron 1 | GOTO_HIGHLEVEL
t=117.578 s | Dron 1 | GOTO_HIGHLEVEL
t=117.859 s | Dron 1 | GOTO_HIGHLEVEL
t=118.125 s | Dron 1 | GOTO_HIGHLEVEL
t=122.875 s | Dron 1 | GOTO_HIGHLEVEL
t=123.14 s | Dron 1 | GOTO_HIGHLEVEL
t=123.39 s | Dron 1 | GOTO_HIGHLEVEL
t=123.64 s | Dron 1 | GOTO_HIGHLEVEL
t=123.89 s | Dron 1 | GOTO_HIGHLEVEL
t=124.156 s | Dron 1 | GOTO_HIGHLEVEL
t=124.422 s | Dron 1 | GOTO_HIGHLEVEL
t=124.687 s | Dron 1 | GOTO_HIGHLEVEL
t=124.937 s | Dron 1 | GOTO_HIGHLEVEL
t=143.89 s | SISTEMA | EMERGENCIA_HIGHLEVEL
