Archivo: python_highlevel_cruz_20260905_122559.csv
Duración registrada: 44.94 s

Dron 1: 433 muestras; altura MoCap máxima = 1.262 m
Dron 1: frecuencia MoCap media = 20.2 Hz; mínima = 18.1 Hz
Dron 1: sobrepaso vertical máximo = +0.318 m
Dron 2: 433 muestras; altura MoCap máxima = 1.287 m
Dron 2: frecuencia MoCap media = 20.3 Hz; mínima = 18.1 Hz
Dron 2: sobrepaso vertical máximo = +0.255 m
Separación mínima registrada = 0.257 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=23.031 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.031 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.172 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.297 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.297 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.64 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.64 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.75 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.75 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.859 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.859 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=23.984 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=23.984 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.125 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.359 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.359 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.484 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.484 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.609 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.609 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=24.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=24.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
